Date,Ci Diversified Income B,FTSE/JSE ALB 1-3 Yr TR ZAR,FTSE/JSE ALB 3-7 Yr TR ZAR,FTSE/JSE ALB 7-12 Yr TR ZAR,FTSE/JSE ALB 12+ Yr TR ZAR
31/12/2020,0.0059096,0.0021334,0.0250024,0.0247022,0.0284139
31/01/2021,0.0043543,0.0017198,0.0050246,0.0075613,0.0099033
28/02/2021,0.0025964,-0.0068691,-0.0222173,-0.0052714,0.0159947
31/03/2021,0.0042647,0.003373,0.0002623,-0.0243465,-0.0424762
30/04/2021,0.0069974,0.0148558,0.0099803,0.0208531,0.0228276
31/05/2021,0.0069542,-0.0007576,0.0086609,0.0347027,0.0579949
30/06/2021,0.0042974,-0.0000722,0.0013468,0.0096337,0.0173242
31/07/2021,0.0056692,0.0093984,0.0108715,0.0110999,0.0055436
31/08/2021,0.0059019,0.005261,0.007045,0.012959,0.02464
30/09/2021,0.0031565,0.0005023,-0.0062408,-0.0215261,-0.0295722
31/10/2021,0.0005897,-0.0011271,-0.0154091,-0.0131386,0.0042503
30/11/2021,0.0069944,0.0116319,0.0125179,0.0031949,0.0055616
31/12/2021,0.0065208,0.0031725,0.0137132,0.0335122,0.0306811
31/01/2022,0.0051664,0.001817,0.0106426,0.0063477,0.0093253
28/02/2022,0.0056093,0.0047026,0.0004371,0.0054882,0.0083192
31/03/2022,0.0052464,0.0060958,-0.0022608,-0.0002084,0.0100771
30/04/2022,0.0045984,0.0042581,-0.0006905,-0.014805,-0.0244294
31/05/2022,0.0071077,0.004896,0.0097692,0.0142069,0.0079419
30/06/2022,0.0035438,-0.0086996,-0.0143662,-0.0330811,-0.0358334
31/07/2022,0.0050272,0.0026283,0.0062135,0.0222697,0.0332675
31/08/2022,0.0080461,0.0045593,0.0057986,0.0027102,0.0023327
30/09/2022,0.0027373,-0.0006925,-0.0083952,-0.016414,-0.0291281
31/10/2022,0.0080121,0.0128024,0.0200591,0.0093574,0.0077424
30/11/2022,0.0084724,0.0166547,0.0186276,0.0416151,0.0460297
31/12/2022,0.0068201,0.0070074,0.0060756,0.0110398,0.0034275
31/01/2023,0.0103407,0.0130971,0.0278824,0.0356468,0.0263835
28/02/2023,0.0041244,-0.0001066,-0.0103974,-0.0126723,-0.0059787
31/03/2023,0.0084578,0.0108644,0.0160211,0.0209473,0.0060179
30/04/2023,0.0039643,-0.0022471,-0.0067827,-0.0138095,-0.0130977
31/05/2023,0.0012181,-0.0175312,-0.0323325,-0.0532748,-0.0577357
30/06/2023,0.0139379,0.0250297,0.0370692,0.0551631,0.0475449
31/07/2023,0.0100031,0.0140254,0.0186586,0.0246399,0.0253965
31/08/2023,0.0081013,0.0090769,0.0074019,-0.0012803,-0.0109964
